Date,Close/Last,Volume,Open,High,Low
06/10/2026,$130.21,30612640,$129.325,$133.185,$128.80
06/09/2026,$132.07,38679990,$134.87,$136.99,$127.35
06/08/2026,$136.47,26978870,$135.68,$137.76,$135.28
06/05/2026,$135.53,38283520,$140.325,$141.97,$134.025
06/04/2026,$141.70,40834010,$145.46,$146.37,$140.272
06/03/2026,$142.20,41072510,$149.70,$151.68,$141.25
06/02/2026,$152.17,43163090,$156.69,$159.55,$149.80
06/01/2026,$160.65,57653960,$159.98,$163.70,$155.88
05/29/2026,$156.54,92196610,$147.825,$157.7794,$145.79
05/28/2026,$143.34,52085170,$133.16,$145.00,$133.00
05/27/2026,$132.51,34159780,$133.30,$135.73,$131.63
05/26/2026,$136.60,31723940,$136.16,$138.68,$133.30
05/22/2026,$136.88,27578010,$137.425,$139.02,$134.30
05/21/2026,$137.415,24311880,$135.80,$138.55,$135.42
05/20/2026,$137.15,31307680,$134.145,$137.24,$132.42
05/19/2026,$135.26,29777290,$135.17,$137.47,$133.60
05/18/2026,$135.14,32034600,$132.50,$135.935,$131.33
05/15/2026,$133.99,32629750,$132.80,$135.64,$132.2901
05/14/2026,$133.73,37052600,$129.65,$134.48,$129.45
05/13/2026,$130.05,55189400,$134.006,$136.99,$128.75
05/12/2026,$136.00,38781120,$136.60,$137.43,$133.46
05/11/2026,$136.89,41414470,$134.91,$137.14,$132.771
05/08/2026,$137.80,41745390,$135.865,$137.88,$133.02
05/07/2026,$137.05,50184870,$135.10,$140.95,$134.78
05/06/2026,$133.79,55524830,$133.71,$135.70,$131.1501
05/05/2026,$135.91,89747090,$140.295,$142.98,$134.72
05/04/2026,$146.03,70525850,$147.75,$149.64,$145.225
05/01/2026,$144.07,33219900,$143.25,$146.44,$141.39
04/30/2026,$139.11,32523580,$138.475,$140.20,$136.65
04/29/2026,$137.97,33348060,$139.76,$139.76,$134.68
04/28/2026,$141.18,24757210,$142.30,$143.85,$140.4201
04/27/2026,$143.10,31275430,$141.25,$145.07,$141.01
04/24/2026,$143.09,38677160,$142.96,$143.33,$138.93
04/23/2026,$141.57,58654420,$149.70,$150.29,$139.92
04/22/2026,$152.62,43701460,$148.36,$152.68,$147.41
04/21/2026,$145.97,44829990,$146.81,$149.87,$143.999
04/20/2026,$145.89,33482670,$145.00,$147.20,$143.83
04/17/2026,$146.39,50657590,$145.315,$148.28,$143.30
04/16/2026,$142.76,43746000,$144.29,$145.55,$139.53
04/15/2026,$142.15,48389450,$136.79,$142.58,$134.93
04/14/2026,$135.70,52786830,$134.427,$138.07,$134.00
04/13/2026,$132.37,65772820,$130.23,$134.4199,$129.15
04/10/2026,$128.06,116656800,$128.48,$129.20,$122.68
04/09/2026,$130.49,92361440,$139.395,$139.54,$128.47
04/08/2026,$140.76,64827660,$154.765,$156.28,$139.1701
04/07/2026,$150.07,28671080,$146.882,$150.27,$144.45
04/06/2026,$147.93,25142250,$148.36,$150.61,$146.6308
04/02/2026,$148.46,30436960,$143.485,$148.51,$137.99
04/01/2026,$146.49,34170990,$147.00,$148.30,$144.47
03/31/2026,$146.28,45558570,$140.02,$147.8599,$138.97
03/30/2026,$137.55,41289820,$143.27,$144.12,$136.30
03/27/2026,$143.06,35790820,$145.88,$145.96,$141.56
03/26/2026,$147.56,43038430,$153.055,$153.12,$147.25
03/25/2026,$154.96,38543290,$157.42,$160.27,$154.855
03/24/2026,$154.78,56155680,$160.07,$162.40,$151.64
03/23/2026,$160.84,57507060,$153.24,$161.08,$153.24
03/20/2026,$150.68,48700190,$155.20,$156.65,$149.09
03/19/2026,$155.68,33915880,$153.10,$156.15,$150.50
03/18/2026,$152.77,32476680,$154.945,$156.69,$152.61
03/17/2026,$155.08,37118460,$152.405,$156.75,$152.12
03/16/2026,$152.72,32898950,$152.45,$153.86,$151.17
03/13/2026,$150.95,42460570,$153.30,$154.56,$148.58
03/12/2026,$153.50,54409800,$153.01,$155.88,$150.98
03/11/2026,$151.60,33955900,$151.38,$153.169,$149.3304
03/10/2026,$151.14,47501390,$155.99,$156.6571,$150.14
03/09/2026,$156.43,47574200,$155.69,$158.44,$152.97
03/06/2026,$157.16,74980860,$150.44,$161.45,$150.29
03/05/2026,$152.67,50714510,$152.94,$156.38,$149.61
03/04/2026,$153.19,60062170,$148.43,$154.52,$148.06
03/03/2026,$147.22,67460190,$142.10,$147.50,$138.20
03/02/2026,$145.17,72683880,$140.775,$147.14,$140.52
02/27/2026,$137.19,59412400,$134.07,$138.10,$133.98
02/26/2026,$135.94,45100010,$133.845,$137.51,$132.63
02/25/2026,$134.19,53078290,$130.61,$136.09,$129.18
02/24/2026,$128.84,47121440,$129.005,$130.24,$126.37
02/23/2026,$130.60,52512160,$132.04,$132.04,$127.39
02/20/2026,$135.24,53726810,$132.365,$136.21,$131.17
02/19/2026,$134.89,42197240,$132.31,$136.16,$131.01
02/18/2026,$135.38,59677080,$135.89,$140.9625,$134.87
02/17/2026,$133.02,48407140,$128.895,$134.32,$127.29
02/13/2026,$131.41,49438050,$127.90,$133.56,$126.2325
02/12/2026,$129.13,74090640,$135.36,$135.89,$126.56
02/11/2026,$135.68,52796050,$139.025,$139.25,$132.95
02/10/2026,$139.51,56061310,$144.965,$145.5599,$137.77
02/09/2026,$142.91,58042460,$136.58,$145.87,$134.776
02/06/2026,$135.90,62661430,$135.33,$137.6871,$132.35
02/05/2026,$130.01,93690790,$136.82,$137.98,$128.32
02/04/2026,$139.54,113199500,$155.41,$155.85,$135.68
02/03/2026,$157.88,113169200,$165.05,$165.078,$153.12
02/02/2026,$147.76,72811150,$150.94,$151.40,$146.654
01/30/2026,$146.59,47271040,$150.05,$151.00,$145.139
01/29/2026,$151.86,59846810,$157.63,$157.63,$147.12
01/28/2026,$157.35,44822850,$164.40,$165.045,$157.24
01/27/2026,$165.70,26542310,$167.48,$169.44,$164.69
01/26/2026,$167.47,22777160,$168.21,$170.5897,$167.325
01/23/2026,$169.60,30285670,$167.27,$172.00,$166.30
01/22/2026,$165.90,28499470,$168.925,$169.00,$164.95
01/21/2026,$165.33,47851220,$168.402,$169.49,$161.11
01/20/2026,$168.53,36708500,$167.625,$171.97,$166.24
01/16/2026,$170.96,59483600,$179.36,$182.43,$170.01
01/15/2026,$177.07,31109180,$178.71,$180.60,$176.5301
01/14/2026,$178.40,33651400,$178.125,$181.5975,$173.95
01/13/2026,$178.96,27769350,$178.875,$181.10,$176.14
01/12/2026,$179.41,34954540,$177.685,$182.50,$176.34
01/09/2026,$177.49,31362890,$177.02,$178.72,$174.75
01/08/2026,$176.86,47304290,$185.615,$185.66,$174.37
01/07/2026,$181.68,45349010,$179.80,$187.28,$177.66
01/06/2026,$179.71,34838610,$175.76,$180.19,$174.7701
01/05/2026,$174.04,39511690,$174.88,$175.82,$171.79
01/02/2026,$167.86,60634070,$181.30,$181.35,$166.35
12/31/2025,$177.75,22997440,$181.13,$181.53,$177.25
12/30/2025,$180.84,23336310,$184.35,$184.7289,$180.70
12/29/2025,$184.18,28242000,$186.85,$187.20,$183.64
12/26/2025,$188.71,26261990,$195.015,$196.35,$188.62
12/24/2025,$194.17,11710130,$193.16,$195.17,$192.83
12/23/2025,$194.13,24040970,$192.825,$195.37,$191.7351
12/22/2025,$193.98,36686040,$195.04,$198.88,$192.43
12/19/2025,$193.38,76929380,$186.74,$195.00,$186.73
12/18/2025,$185.69,40221480,$181.51,$187.33,$181.51
12/17/2025,$177.29,50424650,$187.715,$187.75,$176.50
12/16/2025,$187.75,42070270,$181.655,$188.50,$181.1424
12/15/2025,$183.25,32796050,$185.08,$187.78,$180.03
12/12/2025,$183.57,42427360,$185.81,$186.525,$177.6668
12/11/2025,$187.54,36843180,$184.80,$188.05,$180.21
12/10/2025,$187.91,59397970,$184.95,$190.39,$182.75
12/09/2025,$181.84,18937570,$180.97,$182.8499,$180.38
12/08/2025,$181.49,30456690,$182.21,$183.8799,$179.54
12/05/2025,$181.76,32079260,$178.23,$182.1532,$177.1601
12/04/2025,$177.92,29217790,$176.365,$178.44,$174.43
12/03/2025,$176.08,30541610,$170.14,$177.91,$168.83
12/02/2025,$170.69,35367970,$169.59,$175.75,$169.59
12/01/2025,$167.49,27779620,$165.00,$169.10,$163.12
11/28/2025,$168.45,17199500,$167.76,$168.80,$165.875
11/26/2025,$165.77,34610540,$166.85,$168.3385,$163.88
11/25/2025,$163.55,36523530,$160.07,$164.6499,$156.555
11/24/2025,$162.25,57877790,$157.47,$165.17,$157.00
11/21/2025,$154.85,71346360,$156.01,$158.11,$147.56
11/20/2025,$155.745,78443940,$172.07,$174.57,$154.395
11/19/2025,$165.42,46108210,$167.80,$169.60,$162.42
11/18/2025,$167.33,53710060,$168.37,$172.83,$165.50
11/17/2025,$171.25,50339030,$170.53,$174.2399,$167.68
11/14/2025,$174.01,62596760,$166.975,$177.29,$164.50
11/13/2025,$172.14,63188770,$181.715,$182.70,$170.7314
11/12/2025,$184.17,55347130,$190.58,$190.58,$180.40
11/11/2025,$190.96,49819720,$190.335,$192.925,$187.13
11/10/2025,$193.61,87764250,$184.31,$194.9299,$183.52
11/07/2025,$177.93,73989650,$173.15,$178.70,$168.91
11/06/2025,$175.05,78468580,$187.99,$191.09,$174.53
11/05/2025,$187.90,76121040,$189.00,$190.32,$181.21
11/04/2025,$190.74,121380900,$192.07,$195.70,$185.56
11/03/2025,$207.18,81016840,$205.045,$207.52,$201.82
10/31/2025,$200.47,52697640,$199.20,$204.18,$197.92
10/30/2025,$194.55,43541720,$198.425,$199.67,$194.1201
10/29/2025,$198.81,65537260,$191.08,$199.85,$190.49
10/28/2025,$189.60,38201010,$189.48,$191.78,$186.78
10/27/2025,$189.18,47153060,$188.97,$192.83,$187.52
10/24/2025,$184.63,34813460,$182.88,$186.17,$182.85
10/23/2025,$180.48,35812300,$175.445,$181.56,$175.01
10/22/2025,$175.49,58263100,$181.93,$182.21,$169.42
10/21/2025,$181.51,27528150,$182.06,$182.3891,$178.6501
10/20/2025,$181.59,31975850,$179.49,$183.09,$177.44
10/17/2025,$178.15,43421490,$177.75,$181.59,$173.95
10/16/2025,$178.12,42870890,$181.78,$184.82,$176.45
10/15/2025,$179.62,37372130,$181.655,$184.35,$176.02
10/14/2025,$179.74,49261450,$176.00,$182.34,$170.82
10/13/2025,$177.21,41332440,$178.68,$179.22,$173.45
10/10/2025,$175.44,55194030,$185.17,$187.10,$173.53
10/09/2025,$185.47,45050250,$183.58,$187.62,$179.95
10/08/2025,$183.56,36299660,$182.80,$184.26,$181.20
10/07/2025,$182.17,58179260,$180.31,$186.18,$179.4201
10/06/2025,$179.53,52504240,$179.18,$182.95,$177.83
10/03/2025,$173.07,105533400,$186.40,$186.84,$170.77
10/02/2025,$187.05,39849210,$186.70,$188.20,$182.95
10/01/2025,$184.95,45717300,$181.32,$186.28,$179.50
09/30/2025,$182.42,43561730,$178.98,$182.77,$178.22
09/29/2025,$178.86,38413750,$179.64,$181.48,$177.16
09/26/2025,$177.57,44275790,$179.05,$180.12,$174.91
09/25/2025,$179.12,72321190,$175.80,$184.32,$174.29
09/24/2025,$179.56,45379670,$183.91,$184.85,$177.12
09/23/2025,$182.55,62354830,$182.51,$185.75,$177.01
09/22/2025,$179.33,45916680,$180.88,$182.25,$178.29
09/19/2025,$182.39,109129900,$177.07,$184.42,$176.71
09/18/2025,$176.97,70768630,$170.27,$178.80,$169.39
09/17/2025,$168.33,69255500,$169.02,$169.68,$161.27
09/16/2025,$170.26,34598660,$171.04,$171.31,$168.96
09/15/2025,$171.21,45396120,$169.60,$171.80,$167.41
09/12/2025,$171.43,54498540,$165.35,$171.53,$164.01
09/11/2025,$164.36,42025500,$167.24,$167.458,$163.22
09/10/2025,$166.74,62211420,$166.00,$169.00,$163.44
09/09/2025,$162.36,61359530,$157.25,$162.75,$156.37
09/08/2025,$156.10,47642950,$154.91,$158.30,$154.84
09/05/2025,$153.11,81855900,$157.82,$158.97,$148.04
09/04/2025,$156.14,53292340,$154.865,$157.04,$153.16
09/03/2025,$154.90,66052300,$158.00,$161.15,$152.71
09/02/2025,$157.09,65434970,$151.20,$158.39,$150.28
08/29/2025,$156.71,45270500,$156.98,$158.42,$153.00
08/28/2025,$158.12,57885240,$157.63,$158.23,$152.55
08/27/2025,$156.72,76380550,$162.32,$162.40,$155.9801
08/26/2025,$160.87,86573720,$155.39,$162.13,$154.57
08/25/2025,$157.17,86879820,$156.10,$158.59,$149.37
08/22/2025,$158.74,102099200,$155.315,$163.20,$151.77
08/21/2025,$156.18,94678640,$157.17,$157.97,$153.81
08/20/2025,$156.01,220336400,$152.30,$156.46,$142.34
08/19/2025,$157.75,137922700,$171.36,$172.30,$156.90
08/18/2025,$174.03,62656600,$175.27,$177.90,$171.39
08/15/2025,$177.17,60288740,$179.725,$180.00,$173.38
08/14/2025,$181.02,53472930,$182.41,$185.33,$179.20
08/13/2025,$184.37,53610030,$189.00,$189.46,$183.59
08/12/2025,$186.97,54983770,$184.70,$190.00,$182.10
08/11/2025,$182.68,56125630,$186.47,$187.18,$181.92
08/08/2025,$186.96,62657940,$184.735,$187.99,$184.41
08/07/2025,$182.20,77829180,$181.01,$184.48,$178.17
08/06/2025,$179.54,82924850,$171.175,$180.5813,$171.01
08/05/2025,$173.27,130917500,$171.81,$176.33,$169.2201
08/04/2025,$160.66,82993560,$158.53,$161.40,$157.9301
08/01/2025,$154.27,61286990,$155.05,$158.19,$151.0576
07/31/2025,$158.35,45342610,$159.99,$160.89,$156.73
07/30/2025,$158.61,40261680,$157.365,$159.38,$156.56
07/29/2025,$156.24,42427210,$158.715,$160.14,$154.91
07/28/2025,$157.88,63886940,$159.88,$160.2799,$153.04
07/25/2025,$158.80,57972340,$155.63,$160.39,$155.58
07/24/2025,$154.86,38925750,$153.98,$155.63,$152.575
07/23/2025,$154.63,48061990,$149.74,$155.00,$148.2871
07/22/2025,$149.07,49880760,$150.85,$151.7899,$145.062
07/21/2025,$151.79,45072810,$153.88,$155.44,$151.36
07/18/2025,$153.52,45771630,$154.86,$154.92,$151.90
07/17/2025,$153.99,60165520,$151.56,$155.68,$150.82
07/16/2025,$150.91,57636990,$149.30,$151.51,$147.6744
07/15/2025,$148.58,59126190,$148.93,$150.62,$147.3601
07/14/2025,$149.15,81774440,$142.72,$149.575,$142.22
07/11/2025,$142.10,52134810,$142.11,$144.58,$141.47
07/10/2025,$142.50,64383870,$143.31,$145.16,$139.53
07/09/2025,$143.13,68494760,$139.655,$143.17,$137.39
